,sentence
92,"['education', 'gmat', 'toefl', 'ielts', 'gpa', 'previous', 'college', 'name', 'degree', 'gpa', 'current', 'college', 'current', 'class', 'freshman', 'senior', 'majorconcentration']"
93,"['academic', 'diversity', 'initiative', 'eop', 'heop', 'applicability', 'could', 'include', 'socioeconomic', 'status', 'gender', 'ethnicity', 'race', 'information', 'pertinent', 'campus', 'diversity', 'initiative', 'disability', 'accommodation', 'sexual', 'orientation', 'dietary', 'restriction']"
94,"['professional', 'business', 'analysis', 'tool', 'specific', 'information', 'business', 'including', 'limited', 'business', 'name', 'address', 'type', 'size', 'sq', 'ft', 'number', 'employee', 'title', 'position', 'wage', 'cost', 'running', 'business', 'seating', 'table', 'data', 'restaurant', 'data', 'related', 'hire', 'replace', 'employee']"
95,"['use', 'information']"
96,"['use', 'automatically', 'gathered', 'information', 'track', 'user', 'trend', 'site', 'usage', 'goal', 'improving', 'visitor', 'experience', 'optimizing', 'website', 'also', 'use', 'information', 'administer', 'website', 'prevent', 'abuse']"
97,"['information', 'provide', 'u', 'used', 'following', 'purpose']"
98,"['send', 'notification', 'important', 'information', 'pertaining', 'record', 'emergency']"
99,"['consider', 'application', 'admission', 'school', 'program']"
100,"['associate', 'cornell', 'record', 'engagement', 'well', 'internal', 'administrative', 'academic', 'support', 'need']"
101,"['provide', 'disability', 'dietary', 'accommodation', 'event', 'program', 'well', 'linking', 'student', 'diversity', 'inclusion', 'opportunity', 'event', 'campus']"
102,"['share', 'cornellrelated', 'news', 'publication', 'course', 'event', 'program', 'opportunity', 'tailored', 'interest', 'based', 'job', 'organization', 'industry', 'website', 'visit', 'interest', 'need']"
103,"['offer', 'assistance', 'web', 'printed', 'material', 'service', 'support', 'upon', 'request']"
104,"['apply', 'formula', 'professional', 'business', 'information', 'provide', 'generate', 'report', 'may', 'assist', 'decision', 'improve', 'business', 'information', 'private', 'shared', 'third', 'party']"
105,"['share', 'information']"
106,"['information', 'gather', 'may', 'also', 'shared', 'campus', 'constituent', 'improve', 'program', 'outreach', 'campus', 'initiative', 'additionally', 'metric', 'may', 'shared', 'vendor', 'improve', 'communication', 'related', 'activity', 'however', 'sell', 'data', 'thirdparties', 'use', 'direct', 'marketing', 'advertising', 'promotion', 'product', 'service', 'thirdparties', 'partner', 'help', 'deliver', 'service', 'found']"
107,['partner']
108,['u']
109,"['related', 'policy']"
110,['facebook']
111,"['software', 'help', 'u', 'create', 'specific', 'ad', 'may', 'appear', 'facebook', 'page']"
112,['httpswwwfacebookcompolicyphp']
113,"['member', 'euus', 'privacy', 'shield']"
114,['google']
115,"['analytics', 'software', 'provides', 'u', 'anonymous', 'information', 'website', 'visitor']"
116,['httpspoliciesgooglecom']
117,"['member', 'euus', 'privacy', 'shield']"
118,['salesforce']
119,"['hosting', 'form', 'application', 'process', 'well', 'outreach', 'engagement', 'program', 'alumnus']"
120,['httpswwwsalesforcecomcompanyprivacy']
121,"['member', 'euus', 'privacy', 'shield']"
122,['siteimprove']
123,"['ensure', 'website', 'conforms', 'appropriate', 'web', 'accessibility', 'standard']"
124,['httpssiteimprovecomenprivacyprivacypolicy']
125,['twitter']
126,"['outreach', 'engagement', 'event', 'special', 'offer']"
127,['httpstwittercomenprivacy']
128,['instagram']
129,"['outreach', 'engagement', 'event', 'special', 'offer']"
130,['httpshelpinstagramcom519522125107875']
131,['linkedin']
132,"['outreach', 'engagement', 'event', 'special', 'offer']"
133,['httpswwwlinkedincomlegalprivacypolicy']
134,['localist']
135,"['outreach', 'engagement', 'event', 'special', 'offer']"
136,['httpswwwlocalistcomlegalprivacypolicy']
137,['eventbrite']
138,"['outreach', 'engagement', 'event', 'special', 'offer']"
139,['httpswwweventbritecomsupportarticlesen_ustroubleshootingeventbriteprivacypolicy']
140,['sumo']
141,"['analytics', 'software', 'provides', 'u', 'anonymous', 'information', 'website', 'visitor']"
142,['httpshelpsumocomhcenusarticles218958727privacypolicy']
143,['element451']
144,"['outreach', 'engagement', 'event', 'special', 'offer']"
145,['httpselement451comprivacypolicy']
146,"['cooky', 'collection', 'technology']"
147,['cooky']
148,"['cooky', 'text', 'file', 'stored', 'computer', 'accessible', 'website', 'create']"
149,"['website', 'may', 'use', 'cooky', 'keep', 'logged', 'secure', 'area', 'website', 'andor', 'keep', 'track', 'preference', 'interact', 'certain', 'service', 'may', 'disable', 'cooky', 'browser', 'however', 'website', 'may', 'work', 'properly']"
150,"['log', 'file']"
151,"['website', 'automatically', 'gather', 'anonymous', 'information', 'visitor', 'including', 'ip', 'address', 'browser', 'type', 'time', 'date', 'webpage', 'visit', 'information', 'collected', 'include', 'personally', 'identifiable', 'detail', 'used', 'improve', 'service', 'administer', 'website']"
152,"['protecting', 'information']"
153,"['method', 'transmitting', 'internet', 'storing', 'electronic', 'data', '100', 'secure', 'site', 'measure', 'place', 'help', 'protect', 'loss', 'misuse', 'alteration', 'information', 'control']"
154,"['email', 'marketing']"
155,"['use', 'email', 'marketing', 'platform', 'communicate', 'audience', 'prospective', 'student', 'event', 'attendee', 'enrolled', 'student', 'staff', 'faculty', 'member', 'alumnus', 'corporate', 'sponsor', 'email', 'sent', 'platform', 'include', 'physical', 'address', 'office', 'sending', 'email', 'functioning', 'unsubscribe', 'optout', 'link', 'may', 'also', 'contact', 'office', 'marketing', 'communication', 'directly', 'see', 'contact', 'section', 'optout', 'provide', 'feedback', 'email', 'marketing', 'campaign']"
156,"['social', 'medium', 'presence']"
157,"['share', 'content', 'social', 'medium', 'liking', 'u', 'facebook', 'interacting', 'u', 'linkedin', 'instagram', 'tweeting', 'u', 'twitter', 'social', 'network', 'record', 'done', 'may', 'set', 'cookie', 'purpose']"
158,"['wish', 'optout', 'social', 'interaction', 'please', 'refer', 'specific', 'social', 'medium', 'platform', 'instruction']"
159,"['external', 'website', 'link']"
160,"['timetotime', 'link', 'external', 'website', 'neither', 'control', 'cornell', 'university', 'responsible', 'content', 'privacy', 'practice', 'web', 'accessibility', 'need', 'website']"
161,"['special', 'notice', 'eu', 'resident']"
162,"['located', 'within', 'european', 'economic', 'area', 'european', 'union', 'norway', 'liechtenstein', 'iceland', 'acknowledge', 'right', 'granted', 'general', 'data', 'protection', 'regulation', 'gdpr']"
163,"['right', 'may', 'include']"
164,"['right', 'access', 'information', 'held', 'u']"
165,"['right', 'correct', 'inaccurate', 'incorrect', 'information']"
166,"['right', 'erasure', 'information', 'longer', 'necessary', 'u', 'retain']"
167,"['right', 'restrict', 'processing', 'personal', 'information', 'specific', 'situation']"
168,"['right', 'object', 'processing', 'information', 'including', 'sending', 'communication', 'may', 'considered', 'directmarketing', 'material']"
169,"['right', 'object', 'automated', 'decisionmaking', 'profiling', 'applicable']"
170,"['right', 'complain', 'supervisory', 'authority', 'jurisdiction', 'within', 'eu']"
